num_hidden_neurons,l_rate,weights_distr,batch_size,act_f,lambda,optimizer,k,score
[150],0.1,gaussian,16,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6379217972774828
"[5, 5]",0.01,gaussian,169,relu,0.001,"('trivial', 0.0)",3,0.6379238720979507
[10],0.001,gaussian,16,relu,0.0,"('trivial', 0.0)",3,0.6383983796602227
[10],0.001,gaussian,64,relu,0.0,"('trivial', 0.5)",3,0.6401103981947049
"[5, 5, 5]",0.1,gaussian,32,logistic,0.001,"('trivial', 0.0)",3,0.6402039167850682
[3],0.001,gaussian,16,softplus,0.001,"('nesterov', 0.5)",3,0.6403506570583312
[150],0.1,gaussian,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6404824360522117
[3],0.01,gaussian,169,logistic,0.0,"('nesterov', 0.9)",3,0.6408438934139032
"[5, 5, 5]",0.001,gaussian,16,tanh,0.0,"('trivial', 0.5)",3,0.640857224961544
[20],0.01,gaussian,169,relu,0.001,"('trivial', 0.0)",3,0.6409372008367619
"[200, 200]",0.01,gaussian,2,softplus,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6409833712356993
"[5, 5]",0.6,gaussian,64,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6410030878757581
[20],0.6,gaussian,169,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6416551113185331
"[100, 100]",0.001,gaussian,169,relu,0.001,"('nesterov', 0.9)",3,0.6417396185399992
"[20, 20]",0.001,gaussian,169,relu,0.0,"('nesterov', 0.9)",3,0.6422073968918449
[10],0.001,gaussian,8,softplus,0.0,"('trivial', 0.0)",3,0.643276519295256
"[200, 200]",0.001,gaussian,32,relu,0.001,"('trivial', 0.0)",3,0.6449572043412615
"[5, 5]",0.001,gaussian,16,softplus,0.001,"('nesterov', 0.5)",3,0.6453085029482241
"[5, 5]",0.05,gaussian,169,softplus,0.001,"('trivial', 0.0)",3,0.6455305285760198
[10],0.001,gaussian,32,relu,0.001,"('trivial', 0.0)",3,0.6469575792242198
[10],0.001,gaussian,64,relu,0.0,"('nesterov', 0.5)",3,0.6473064815561456
"[5, 5, 5]",0.2,gaussian,16,softplus,0.001,"('nesterov', 0.5)",3,0.6473802086007369
"[200, 200]",0.001,gaussian,169,relu,0.0,"('trivial', 0.9)",3,0.6476234566273718
[10],0.001,gaussian,169,tanh,0.001,"('nesterov', 0.9)",3,0.6480455532436761
"[5, 5, 5]",0.001,gaussian,1,logistic,0.0,"('nesterov', 0.5)",3,0.6481434641915218
[3],0.001,gaussian,64,relu,0.001,"('nesterov', 0.9)",3,0.6485540817421035
[5],0.001,gaussian,16,relu,0.0,"('nesterov', 0.5)",3,0.6493441503506658
[150],0.05,gaussian,1,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.649920836907604
"[5, 5, 5]",0.001,gaussian,64,softplus,0.001,"('trivial', 0.0)",3,0.6499914668076073
"[5, 5]",0.01,gaussian,16,logistic,0.0,"('nesterov', 0.5)",3,0.650043051974203
"[5, 5]",0.001,gaussian,64,relu,0.001,"('trivial', 0.5)",3,0.6503800501017545
