num_hidden_neurons,l_rate,weights_distr,batch_size,act_f,lambda,optimizer,k,score
[5],0.01,gaussian,123,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.2710627791536623
"[5, 5]",0.001,gaussian,8,tanh,0.0,"('trivial', 0.0)",3,0.3030857328958227
"[5, 5, 5]",0.001,gaussian,123,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.30862669423654193
[3],0.01,gaussian,64,tanh,0.0,"('trivial', 0.5)",3,0.3310711398650715
[3],0.001,gaussian,2,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3310783096890016
"[5, 5, 5]",0.001,gaussian,64,tanh,0.0,"('nesterov', 0.9)",3,0.34793437631949065
[5],0.001,gaussian,32,relu,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3482874856903744
[5],0.001,gaussian,64,tanh,0.0,"('nesterov', 0.9)",3,0.3500543705163231
"[20, 20]",0.001,gaussian,32,tanh,0.001,"('nesterov', 0.5)",3,0.3511881774616114
"[5, 5, 5]",0.01,gaussian,123,tanh,0.001,"('nesterov', 0.5)",3,0.3514538343179446
"[5, 5, 5]",0.001,gaussian,64,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3526240071746456
"[20, 20]",0.001,gaussian,123,tanh,0.0,"('trivial', 0.9)",3,0.3550400092658397
[10],0.001,gaussian,64,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.3589376861037166
"[5, 5]",0.001,gaussian,8,tanh,0.001,"('trivial', 0.0)",3,0.36004986946806034
"[5, 5]",0.001,gaussian,64,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.361761413048902
"[5, 5]",0.001,gaussian,123,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.3619448405880224
"[5, 5]",0.001,gaussian,32,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3624459360219245
"[5, 5]",0.001,gaussian,16,tanh,0.0,"('trivial', 0.5)",3,0.3633039650644383
[5],0.01,gaussian,123,tanh,0.0,"('trivial', 0.5)",3,0.3637991703818879
[5],0.01,gaussian,123,tanh,0.0,"('trivial', 0.5)",3,0.363799170381888
"[5, 5]",0.01,gaussian,64,logistic,0.001,"('nesterov', 0.9)",3,0.3647266793198383
"[5, 5, 5]",0.001,gaussian,64,tanh,0.0,"('trivial', 0.9)",3,0.364788981011968
"[5, 5]",0.01,gaussian,123,tanh,0.001,"('nesterov', 0.5)",3,0.3654949061452621
"[5, 5, 5]",0.001,gaussian,16,tanh,0.0,"('nesterov', 0.5)",3,0.365577593587946
"[20, 20]",0.01,gaussian,123,tanh,0.001,"('trivial', 0.0)",3,0.3664687314620991
[5],0.001,gaussian,16,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.36714551616488783
"[20, 20]",0.01,gaussian,123,tanh,0.0,"('trivial', 0.0)",3,0.36747982227466736
[10],0.001,gaussian,64,tanh,0.0,"('trivial', 0.9)",3,0.3693292067066163
"[5, 5]",0.01,gaussian,123,tanh,0.0,"('trivial', 0.0)",3,0.3699093262982938
"[5, 5, 5]",0.001,gaussian,64,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.3709285752646404
[10],0.001,gaussian,123,tanh,0.001,"('trivial', 0.9)",3,0.3719531135936262
"[5, 5, 5]",0.001,gaussian,123,tanh,0.001,"('nesterov', 0.9)",3,0.3722850658557251
[3],0.01,gaussian,64,tanh,0.0,"('trivial', 0.0)",3,0.372527908877921
[3],0.01,gaussian,64,tanh,0.0,"('trivial', 0.0)",3,0.37252790887792103
"[5, 5, 5]",0.01,gaussian,123,tanh,0.0,"('trivial', 0.5)",3,0.37331812812932735
[20],0.001,gaussian,8,relu,0.001,"('trivial', 0.0)",3,0.3739369554095939
[3],0.01,gaussian,32,tanh,0.001,"('trivial', 0.0)",3,0.3765958857960541
"[5, 5]",0.001,gaussian,8,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.37691387541563176
"[5, 5, 5]",0.01,gaussian,123,tanh,0.0,"('trivial', 0.0)",3,0.3780698076925957
"[20, 20]",0.001,gaussian,123,tanh,0.001,"('nesterov', 0.9)",3,0.3781236177122616
[10],0.001,gaussian,64,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3799072595638928
[5],0.001,gaussian,16,tanh,0.001,"('trivial', 0.5)",3,0.38010529995741504
"[5, 5]",0.01,gaussian,16,logistic,0.0,"('nesterov', 0.5)",3,0.3815102969628452
"[5, 5]",0.01,gaussian,64,tanh,0.001,"('trivial', 0.0)",3,0.3819675777954751
"[5, 5]",0.001,gaussian,32,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.383192780725224
"[5, 5, 5]",0.001,gaussian,8,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.38490820729681935
[3],0.01,gaussian,123,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3866622106188341
[3],0.001,gaussian,16,tanh,0.001,"('trivial', 0.5)",3,0.3866806276941244
[3],0.001,gaussian,16,tanh,0.001,"('nesterov', 0.5)",3,0.3879177877311683
"[5, 5]",0.001,gaussian,64,tanh,0.001,"('nesterov', 0.9)",3,0.3884166877169127
[3],0.001,gaussian,32,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.3886543880976481
[3],0.001,gaussian,64,tanh,0.001,"('nesterov', 0.9)",3,0.38946956489992507
"[5, 5]",0.001,gaussian,64,tanh,0.0,"('trivial', 0.9)",3,0.39134025780362
"[5, 5]",0.001,gaussian,64,tanh,0.0,"('trivial', 0.9)",3,0.39134025780362003
[5],0.001,gaussian,8,tanh,0.001,"('trivial', 0.0)",3,0.39217927198654623
[3],0.001,gaussian,16,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.3928538451739251
"[5, 5]",0.001,gaussian,123,relu,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3932942424849555
"[5, 5]",0.01,gaussian,123,tanh,0.001,"('trivial', 0.5)",3,0.393535497805906
[3],0.001,gaussian,32,tanh,0.0,"('nesterov', 0.9)",3,0.3942615500175639
[5],0.001,gaussian,32,softplus,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.3943400156442333
[3],0.001,gaussian,1,logistic,0.001,"('trivial', 0.0)",3,0.39435681118187854
[10],0.001,gaussian,8,tanh,0.0,"('trivial', 0.0)",3,0.3947259415739058
"[5, 5]",0.01,gaussian,64,tanh,0.0,"('trivial', 0.0)",3,0.3950329158521662
[5],0.01,gaussian,16,logistic,0.001,"('trivial', 0.0)",3,0.3960596107698995
[3],0.001,gaussian,2,logistic,0.001,"('nesterov', 0.5)",3,0.3978550580148507
[5],0.001,gaussian,16,tanh,0.001,"('nesterov', 0.5)",3,0.3982155657860437
[3],0.001,gaussian,16,relu,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3991628204410548
[5],0.001,gaussian,64,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.3993237844464635
[3],0.001,gaussian,32,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4008410554726056
[3],0.05,gaussian,64,logistic,0.001,"('trivial', 0.0)",3,0.4015377610186988
"[5, 5]",0.001,gaussian,123,tanh,0.0,"('nesterov', 0.9)",3,0.4015671051154632
[3],0.001,gaussian,8,tanh,0.001,"('trivial', 0.5)",3,0.4016777869493809
[20],0.001,gaussian,123,tanh,0.001,"('trivial', 0.9)",3,0.40229657060546825
[10],0.001,gaussian,64,softplus,0.0,"('trivial', 0.9)",3,0.4027780304709213
"[20, 20]",0.001,gaussian,32,tanh,0.0,"('nesterov', 0.5)",3,0.4031780968132841
"[5, 5]",0.01,gaussian,123,tanh,0.001,"('trivial', 0.0)",3,0.4037246785925939
[5],0.05,gaussian,123,logistic,0.0,"('trivial', 0.5)",3,0.4051872674990606
[3],0.001,gaussian,8,tanh,0.001,"('trivial', 0.0)",3,0.4053374706169726
"[5, 5]",0.01,gaussian,16,logistic,0.001,"('nesterov', 0.5)",3,0.4055048991166844
"[20, 20]",0.001,gaussian,32,tanh,0.001,"('trivial', 0.5)",3,0.4060483984938519
[20],0.001,gaussian,8,tanh,0.0,"('trivial', 0.0)",3,0.4062488419986603
[3],0.001,gaussian,16,logistic,0.001,"('nesterov', 0.9)",3,0.40648977405740094
[5],0.05,gaussian,123,logistic,0.0,"('nesterov', 0.5)",3,0.4068502144341723
[10],0.001,gaussian,16,logistic,0.001,"('trivial', 0.9)",3,0.4071023574784758
"[20, 20]",0.01,gaussian,123,logistic,0.0,"('nesterov', 0.9)",3,0.4074804787403112
[20],0.001,gaussian,64,tanh,0.001,"('nesterov', 0.9)",3,0.4075984722593892
"[5, 5]",0.001,gaussian,32,tanh,0.001,"('nesterov', 0.5)",3,0.40767399124773984
[3],0.001,gaussian,64,softplus,0.001,"('nesterov', 0.9)",3,0.4077494793395042
"[5, 5, 5]",0.001,gaussian,32,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.407838863894096
"[5, 5, 5]",0.001,gaussian,16,tanh,0.001,"('trivial', 0.5)",3,0.4083646606723395
[5],0.001,gaussian,64,tanh,0.001,"('trivial', 0.9)",3,0.4083808766785633
[3],0.05,gaussian,123,logistic,0.001,"('trivial', 0.5)",3,0.4087458596050508
[5],0.001,gaussian,8,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.4089189554053891
"[5, 5, 5]",0.001,gaussian,8,tanh,0.001,"('trivial', 0.0)",3,0.4107695807312109
[5],0.001,gaussian,16,tanh,0.0,"('nesterov', 0.5)",3,0.4109521564241363
"[5, 5, 5]",0.001,gaussian,32,tanh,0.001,"('nesterov', 0.5)",3,0.4113236506773073
[5],0.001,gaussian,8,tanh,0.0,"('trivial', 0.0)",3,0.41145708199908376
[5],0.01,gaussian,64,tanh,0.001,"('trivial', 0.0)",3,0.4124560716815801
"[5, 5]",0.01,gaussian,8,logistic,0.001,"('trivial', 0.0)",3,0.41267258206418056
[5],0.01,gaussian,64,tanh,0.0,"('trivial', 0.0)",3,0.4130796284344141
[3],0.05,gaussian,64,logistic,0.0,"('trivial', 0.0)",3,0.4134372296311269
"[5, 5]",0.001,gaussian,2,logistic,0.001,"('trivial', 0.5)",3,0.4138355011369713
[5],0.01,gaussian,16,logistic,0.0,"('trivial', 0.0)",3,0.41486173382391306
[3],0.001,gaussian,64,relu,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4166843855393538
[3],0.001,gaussian,2,logistic,0.0,"('trivial', 0.0)",3,0.4166911747897813
[5],0.001,gaussian,32,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4167322223548406
[20],0.001,gaussian,16,tanh,0.001,"('nesterov', 0.5)",3,0.4172655986754603
[5],0.001,gaussian,16,tanh,0.0,"('trivial', 0.0)",3,0.41731492379017454
[10],0.01,gaussian,16,logistic,0.0,"('trivial', 0.0)",3,0.4173967166978579
"[20, 20]",0.001,gaussian,32,tanh,0.0,"('trivial', 0.5)",3,0.4176858446484533
"[5, 5]",0.001,gaussian,64,tanh,0.0,"('nesterov', 0.9)",3,0.4177082478911656
"[5, 5]",0.001,gaussian,1,logistic,0.001,"('trivial', 0.0)",3,0.4184307687930385
[5],0.001,gaussian,64,tanh,0.0,"('trivial', 0.9)",3,0.42030045562891105
[5],0.001,gaussian,64,tanh,0.0,"('trivial', 0.9)",3,0.4203004556289111
"[5, 5, 5]",0.001,gaussian,1,logistic,0.001,"('nesterov', 0.5)",3,0.4203950675385403
"[5, 5]",0.001,gaussian,4,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.4219610887874794
[10],0.001,gaussian,16,tanh,0.0,"('trivial', 0.5)",3,0.4220917962734478
[10],0.01,gaussian,64,tanh,0.001,"('trivial', 0.0)",3,0.4228485812900182
"[20, 20]",0.001,gaussian,16,tanh,0.001,"('trivial', 0.0)",3,0.4232245514949939
"[20, 20]",0.001,gaussian,16,tanh,0.001,"('trivial', 0.0)",3,0.42322455149499394
"[20, 20]",0.001,gaussian,32,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.4234220453936512
"[100, 100]",0.05,gaussian,123,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4238439948403879
[5],0.001,gaussian,16,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4239787744905108
