l_rate,num_hidden_neurons,weights_distr,batch_size,act_f,lambda,optimizer,k,score
0.01,"[100, 100]",uniform,32,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.5949794375094462
0.005,"[200, 200]",gaussian,4,relu,0.0,"('trivial', 0.0)",5,1.5956494808406545
0.001,"[200, 200]",gaussian,512,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.5968820107848498
0.001,"[200, 200]",gaussian,8,relu,0.0,"('trivial', 0.9)",5,1.5989713433538746
0.0005,"[200, 200]",gaussian,512,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.600772787410803
0.005,"[200, 200]",gaussian,8,relu,0.0001,"('trivial', 0.5)",5,1.6038675599536625
0.001,"[150, 150]",gaussian,8,relu,0.0001,"('trivial', 0.9)",5,1.6039814851789782
0.001,"[100, 100]",uniform,4,relu,0.0,"('nesterov', 0.9)",8,1.6057153527750816
0.0005,"[200, 200]",gaussian,4,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6059899378902167
0.005,"[200, 200]",gaussian,124,relu,0.0001,"('trivial', 0.5)",5,1.6061555254740203
0.0005,"[200, 200]",gaussian,4,relu,0.0001,"('trivial', 0.9)",5,1.6064844716925806
0.001,"[100, 100]",uniform,124,tanh,0.0,"('nesterov', 0.9)",8,1.608393370594681
0.001,"[100, 100]",uniform,124,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6088126963264344
0.001,"[150, 150]",gaussian,4,relu,0.0001,"('trivial', 0.9)",5,1.609543888465538
0.001,"[200, 200]",gaussian,124,tanh,0.0001,"('nesterov', 0.9)",5,1.6107049475894244
0.001,"[200, 200]",gaussian,4,relu,0.0,"('trivial', 0.9)",5,1.6110634603313378
0.001,"[150, 150]",gaussian,124,relu,0.0,"('nesterov', 0.9)",5,1.6125791270121708
0.001,"[150, 150]",gaussian,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6125894310257016
0.001,"[100, 100]",gaussian,4,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.613582188610211
