l_rate,num_hidden_neurons,weights_distr,batch_size,act_f,lambda,optimizer,k,score
0.001,"[100, 100]",gaussian,1,logistic,0.0001,"('trivial', 0.5)",5,2.0020122857454345
0.001,"[200, 200]",gaussian,8,softplus,0.0001,"('trivial', 0.5)",5,2.0020758526427063
0.0005,"[100, 100]",gaussian,8,logistic,0.0,"('nesterov', 0.5)",5,2.002155027379935
0.001,[100],uniform,2,logistic,0.001,"('nesterov', 0.5)",8,2.0021905072241704
0.001,"[20, 20]",gaussian,124,tanh,0.01,"('adam', 0.9, 0.999, 1e-08)",8,2.0022199478744667
0.001,"[150, 150]",gaussian,8,softplus,0.0,"('trivial', 0.0)",5,2.002273778700219
0.005,"[150, 150]",gaussian,4,logistic,0.0001,"('nesterov', 0.9)",5,2.0023782736142155
0.005,"[100, 100]",gaussian,124,tanh,0.0,"('nesterov', 0.9)",5,2.002382580037152
0.0005,"[150, 150]",gaussian,4,tanh,0.0001,"('trivial', 0.5)",5,2.002414322468796
0.001,[100],gaussian,32,relu,0.001,"('trivial', 0.5)",8,2.0025909223129643
0.0001,[100],gaussian,2,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.002594355296518
0.0001,"[100, 100]",uniform,4,relu,0.0,"('trivial', 0.9)",8,2.0026881508006493
0.001,[100],uniform,124,relu,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.002888071364967
0.001,"[100, 100]",gaussian,4,relu,0.001,"('nesterov', 0.5)",8,2.002959168811893
0.001,"[200, 200]",gaussian,8,softplus,0.0001,"('trivial', 0.0)",5,2.003155148167982
0.001,"[20, 20]",uniform,32,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.00317117811271
0.0001,"[100, 100]",uniform,2,relu,0.0,"('nesterov', 0.9)",8,2.003207654743039
0.001,[100],uniform,1,logistic,0.001,"('nesterov', 0.5)",8,2.0035420666324324
0.0001,"[100, 100]",gaussian,8,softplus,0.0,"('nesterov', 0.9)",8,2.003786458148988
0.0005,"[100, 100]",gaussian,8,relu,0.0001,"('trivial', 0.5)",5,2.0038053084966743
0.001,"[100, 100]",uniform,8,softplus,0.001,"('trivial', 0.5)",8,2.0038388005606116
0.001,"[100, 100]",uniform,2,tanh,0.01,"('adam', 0.9, 0.999, 1e-08)",8,2.0038902723785865
0.005,"[100, 100]",gaussian,124,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,2.003951017584127
0.001,"[150, 150]",gaussian,4,logistic,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,2.003970397842068
0.001,"[100, 100]",gaussian,1,tanh,0.0001,"('trivial', 0.0)",5,2.004128442367612
0.0005,"[100, 100]",gaussian,8,softplus,0.0001,"('trivial', 0.5)",5,2.004158992569549
0.0001,"[100, 100]",gaussian,2,relu,0.0,"('trivial', 0.9)",8,2.0041878019569985
0.0001,[100],uniform,1,logistic,0.0,"('trivial', 0.5)",8,2.0042005156378933
0.001,"[150, 150]",gaussian,8,tanh,0.0,"('trivial', 0.9)",5,2.0043061915292726
0.001,[100],gaussian,4,tanh,0.001,"('trivial', 0.0)",8,2.0044023055830653
0.001,"[100, 100]",gaussian,1,tanh,0.01,"('trivial', 0.0)",8,2.004531880414014
0.001,[100],gaussian,8,logistic,0.0,"('nesterov', 0.5)",8,2.0046768510734143
0.005,"[150, 150]",gaussian,1772,logistic,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,2.004720798594473
0.0001,"[20, 20]",gaussian,2,tanh,0.0,"('trivial', 0.0)",8,2.004863159644208
0.001,"[100, 100]",gaussian,1,tanh,0.0001,"('trivial', 0.5)",5,2.0049098649826864
0.001,"[20, 20]",uniform,8,tanh,0.001,"('trivial', 0.5)",8,2.0050573238429004
0.001,"[20, 20]",uniform,32,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.005176273227556
0.001,"[100, 100]",gaussian,1,logistic,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,2.005460722577712
0.001,"[20, 20]",uniform,2,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.005657826491455
0.01,"[100, 100]",uniform,32,tanh,0.0,"('trivial', 0.5)",8,2.005725967668123
0.001,"[100, 100]",gaussian,8,tanh,0.001,"('nesterov', 0.9)",8,2.0057263384524777
0.0001,"[100, 100]",uniform,8,tanh,0.0,"('trivial', 0.0)",8,2.0057689521713344
0.001,[100],gaussian,8,logistic,0.001,"('nesterov', 0.5)",8,2.0058356015674663
0.001,"[100, 100]",gaussian,4,tanh,0.0001,"('trivial', 0.0)",5,2.006023359226893
0.0001,[100],uniform,2,tanh,0.0,"('trivial', 0.0)",8,2.006078196134317
0.0005,"[200, 200]",gaussian,8,softplus,0.0,"('trivial', 0.5)",5,2.00608852550772
0.001,"[150, 150]",gaussian,1772,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,2.0061761772592117
0.001,[100],uniform,8,tanh,0.001,"('trivial', 0.5)",8,2.0062239493228
0.0001,"[20, 20]",uniform,4,logistic,0.0,"('nesterov', 0.9)",8,2.0062801822435383
0.001,"[100, 100]",gaussian,124,tanh,0.01,"('nesterov', 0.5)",8,2.0062987200480205
0.001,[100],gaussian,32,tanh,0.001,"('nesterov', 0.9)",8,2.0064714076722416
0.0001,[100],uniform,1,relu,0.0,"('trivial', 0.5)",8,2.0064900842028157
0.0001,[100],uniform,1,relu,0.01,"('trivial', 0.5)",8,2.0065483876879915
0.001,[100],uniform,32,tanh,0.01,"('nesterov', 0.9)",8,2.0068300681712223
0.001,"[20, 20]",uniform,8,logistic,0.001,"('nesterov', 0.5)",8,2.0068625038164187
0.0005,"[200, 200]",gaussian,1,logistic,0.0001,"('trivial', 0.9)",5,2.0069174484015533
0.001,"[200, 200]",gaussian,1,logistic,0.0001,"('trivial', 0.9)",5,2.0070194498619665
0.0001,"[20, 20]",gaussian,8,logistic,0.0,"('trivial', 0.9)",8,2.007178197438036
0.0001,"[20, 20]",uniform,4,tanh,0.01,"('trivial', 0.9)",8,2.007261063882023
0.0001,"[20, 20]",uniform,4,tanh,0.01,"('adam', 0.9, 0.999, 1e-08)",8,2.0074280694179234
0.001,"[100, 100]",uniform,4,tanh,0.0,"('trivial', 0.0)",8,2.007482367209647
0.0005,"[100, 100]",gaussian,1,tanh,0.0001,"('trivial', 0.0)",5,2.0074908217863325
0.0001,[100],gaussian,4,tanh,0.0,"('nesterov', 0.5)",8,2.0075592944872964
0.001,[100],gaussian,32,logistic,0.001,"('nesterov', 0.9)",8,2.007711043596519
0.0001,"[20, 20]",uniform,2,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.007899948569566
0.005,"[200, 200]",gaussian,124,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,2.0079573239780397
0.001,[100],gaussian,124,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.0080601768580704
0.01,"[100, 100]",gaussian,32,tanh,0.0,"('nesterov', 0.5)",8,2.008132338201731
0.001,[100],uniform,2,logistic,0.001,"('trivial', 0.5)",8,2.0084309684860493
0.001,"[20, 20]",gaussian,8,softplus,0.0,"('nesterov', 0.5)",8,2.0084368286015177
0.001,"[20, 20]",uniform,1,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.008909464724914
0.01,"[100, 100]",uniform,2,tanh,0.0,"('trivial', 0.0)",8,2.0090725208036675
0.001,[100],gaussian,8,tanh,0.001,"('nesterov', 0.5)",8,2.0092057640900487
0.001,"[20, 20]",uniform,8,logistic,0.001,"('trivial', 0.0)",8,2.0093421011326242
0.001,"[20, 20]",gaussian,4,logistic,0.001,"('trivial', 0.5)",8,2.009411098624971
0.0005,"[200, 200]",gaussian,8,softplus,0.0001,"('trivial', 0.5)",5,2.0094266216297267
0.0001,"[20, 20]",uniform,2,tanh,0.01,"('nesterov', 0.9)",8,2.0094340528055814
0.01,"[100, 100]",gaussian,32,softplus,0.0,"('trivial', 0.0)",8,2.009447164350776
0.001,[100],uniform,2,logistic,0.0,"('trivial', 0.5)",8,2.010183504807093
0.001,"[20, 20]",uniform,2,logistic,0.001,"('nesterov', 0.5)",8,2.010227272787445
0.005,"[200, 200]",gaussian,1772,logistic,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,2.0102605150225616
0.001,"[100, 100]",gaussian,4,relu,0.0,"('nesterov', 0.5)",8,2.0103005029116447
0.01,"[100, 100]",gaussian,2,logistic,0.0,"('trivial', 0.5)",8,2.010370445341138
0.001,[100],uniform,2,logistic,0.0,"('nesterov', 0.5)",8,2.010531955614041
0.01,[100],gaussian,32,logistic,0.0,"('nesterov', 0.5)",8,2.0106111746394117
0.005,"[100, 100]",gaussian,4,tanh,0.0001,"('trivial', 0.5)",5,2.0107564247396814
0.001,"[20, 20]",gaussian,4,tanh,0.01,"('trivial', 0.5)",8,2.0108287886022262
0.001,"[150, 150]",gaussian,124,relu,0.0,"('trivial', 0.0)",5,2.0110049618999657
0.0001,"[20, 20]",gaussian,1,tanh,0.01,"('trivial', 0.9)",8,2.01112611772489
0.0001,[100],gaussian,8,relu,0.0,"('trivial', 0.9)",8,2.01126665468145
0.0005,"[100, 100]",gaussian,4,tanh,0.0,"('nesterov', 0.9)",5,2.0115835753755364
0.0001,"[20, 20]",uniform,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.011678916465593
0.001,[100],uniform,32,logistic,0.001,"('nesterov', 0.9)",8,2.0116815299788136
0.001,"[200, 200]",gaussian,8,softplus,0.0,"('trivial', 0.0)",5,2.011798661941973
0.005,"[100, 100]",gaussian,4,tanh,0.0,"('trivial', 0.5)",5,2.011834829735036
0.001,"[100, 100]",uniform,2,relu,0.01,"('adam', 0.9, 0.999, 1e-08)",8,2.0118969358139442
0.0005,"[100, 100]",gaussian,8,softplus,0.0,"('trivial', 0.5)",5,2.012001099138427
0.001,"[100, 100]",gaussian,2,tanh,0.0,"('trivial', 0.0)",8,2.012171178884691
0.001,"[20, 20]",gaussian,4,logistic,0.0,"('trivial', 0.0)",8,2.0122582440058
0.001,[100],uniform,32,logistic,0.001,"('trivial', 0.9)",8,2.012331405270148
0.0001,[100],uniform,1,tanh,0.0,"('trivial', 0.5)",8,2.012344245503858
0.001,"[20, 20]",gaussian,8,logistic,0.0,"('trivial', 0.5)",8,2.0124349800219195
0.001,[100],uniform,1,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.0127558501112817
0.01,"[100, 100]",uniform,2,logistic,0.0,"('trivial', 0.5)",8,2.0128639203147487
0.005,"[150, 150]",gaussian,1,logistic,0.0001,"('trivial', 0.0)",5,2.012927637032493
0.0001,"[100, 100]",uniform,124,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.013033969453148
0.0005,"[100, 100]",gaussian,8,logistic,0.0001,"('trivial', 0.5)",5,2.013092528907598
0.0001,[100],uniform,1,logistic,0.0,"('nesterov', 0.5)",8,2.0133503321881223
0.005,"[150, 150]",gaussian,512,relu,0.0,"('trivial', 0.5)",5,2.013392445661061
0.001,"[20, 20]",gaussian,32,tanh,0.0,"('trivial', 0.0)",8,2.013677926338544
0.0005,"[150, 150]",gaussian,124,relu,0.0001,"('nesterov', 0.5)",5,2.0137061137425802
0.0005,"[100, 100]",gaussian,8,logistic,0.0,"('trivial', 0.5)",5,2.013786492088493
0.0005,"[150, 150]",gaussian,124,relu,0.0001,"('trivial', 0.5)",5,2.0138866196224225
0.0001,[100],uniform,4,relu,0.0,"('trivial', 0.5)",8,2.014089418695468
0.0001,"[20, 20]",uniform,4,tanh,0.0,"('trivial', 0.0)",8,2.014238964232137
0.0001,[100],uniform,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.0142451069738563
0.0005,"[200, 200]",gaussian,124,relu,0.0001,"('nesterov', 0.5)",5,2.0143163036664973
0.0005,"[200, 200]",gaussian,8,softplus,0.0001,"('nesterov', 0.5)",5,2.014507612517688
0.0001,"[20, 20]",gaussian,4,tanh,0.01,"('nesterov', 0.5)",8,2.0146592846199853
0.001,"[20, 20]",gaussian,32,tanh,0.01,"('trivial', 0.5)",8,2.0146634845042333
0.001,"[20, 20]",gaussian,8,tanh,0.01,"('adam', 0.9, 0.999, 1e-08)",8,2.0149383568210126
0.0005,"[150, 150]",gaussian,124,relu,0.0,"('trivial', 0.5)",5,2.0150446161595097
0.005,"[150, 150]",gaussian,1,logistic,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,2.0151603911874405
0.001,"[100, 100]",gaussian,124,tanh,0.01,"('trivial', 0.5)",8,2.0152355358178933
0.0005,"[100, 100]",gaussian,4,relu,0.0001,"('trivial', 0.5)",5,2.0152534013921626
0.001,[100],uniform,8,logistic,0.001,"('nesterov', 0.5)",8,2.015352224816245
0.01,"[100, 100]",uniform,8,logistic,0.0,"('trivial', 0.9)",8,2.015429244596719
0.0001,[100],gaussian,4,logistic,0.0,"('nesterov', 0.9)",8,2.015561597456468
0.0001,"[20, 20]",gaussian,1,relu,0.0,"('trivial', 0.0)",8,2.015585173990924
0.001,"[200, 200]",gaussian,4,tanh,0.0,"('nesterov', 0.9)",5,2.0157246982410792
0.001,"[100, 100]",uniform,124,tanh,0.01,"('trivial', 0.5)",8,2.015739372823671
0.0001,"[20, 20]",gaussian,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.0157519819002587
0.001,"[20, 20]",gaussian,32,relu,0.0,"('nesterov', 0.5)",8,2.0157547041429544
0.0005,"[200, 200]",gaussian,8,softplus,0.0,"('nesterov', 0.5)",5,2.0158135707978793
0.0005,"[100, 100]",gaussian,8,relu,0.0,"('trivial', 0.5)",5,2.015873570370098
0.0005,"[150, 150]",gaussian,8,softplus,0.0,"('trivial', 0.5)",5,2.0158940581143225
0.0005,"[150, 150]",gaussian,8,softplus,0.0,"('nesterov', 0.5)",5,2.016000880041402
0.001,"[100, 100]",uniform,1,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.01620600460511
0.001,"[20, 20]",gaussian,32,tanh,0.001,"('trivial', 0.5)",8,2.0162581562662347
0.0005,"[100, 100]",gaussian,4,logistic,0.0001,"('trivial', 0.0)",5,2.0164406996790767
0.005,"[100, 100]",gaussian,4,logistic,0.0,"('trivial', 0.9)",5,2.0169250070075937
0.001,[100],uniform,32,tanh,0.001,"('trivial', 0.5)",8,2.0169346236378134
0.001,"[100, 100]",uniform,32,tanh,0.001,"('nesterov', 0.9)",8,2.0170685075305785
0.001,"[100, 100]",uniform,4,relu,0.0,"('nesterov', 0.5)",8,2.017075179511939
0.001,[100],uniform,8,tanh,0.01,"('trivial', 0.5)",8,2.0170775391651548
0.001,[100],gaussian,1,logistic,0.001,"('trivial', 0.5)",8,2.0171679444813457
0.0001,[100],uniform,2,relu,0.0,"('trivial', 0.0)",8,2.0172343525331167
0.0005,"[100, 100]",gaussian,8,relu,0.0,"('nesterov', 0.9)",5,2.0173345315487614
0.005,"[200, 200]",gaussian,4,logistic,0.0001,"('nesterov', 0.9)",5,2.0176336162126582
0.0001,"[20, 20]",uniform,2,logistic,0.0,"('trivial', 0.9)",8,2.017718125760533
0.005,"[200, 200]",gaussian,124,tanh,0.0,"('nesterov', 0.9)",5,2.0178442501320744
0.0001,"[20, 20]",uniform,4,tanh,0.01,"('trivial', 0.0)",8,2.017942446519913
0.005,"[100, 100]",gaussian,8,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,2.018052841414678
0.001,"[20, 20]",gaussian,8,tanh,0.001,"('nesterov', 0.5)",8,2.0181133605919124
0.001,"[100, 100]",gaussian,32,softplus,0.001,"('trivial', 0.9)",8,2.0181368081560813
0.001,"[100, 100]",gaussian,8,tanh,0.0001,"('nesterov', 0.9)",5,2.018239434001272
0.0001,[100],gaussian,2,logistic,0.0,"('trivial', 0.9)",8,2.018330193588964
0.0005,"[100, 100]",gaussian,4,softplus,0.0,"('trivial', 0.0)",5,2.0184136890755817
0.001,"[100, 100]",gaussian,4,relu,0.0,"('trivial', 0.9)",8,2.0185321723664957
0.001,"[100, 100]",uniform,32,tanh,0.0,"('trivial', 0.9)",8,2.0185418061573586
0.001,"[100, 100]",gaussian,8,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.018646370956376
0.001,"[20, 20]",gaussian,8,logistic,0.001,"('trivial', 0.9)",8,2.0187755357125963
0.001,"[20, 20]",uniform,4,logistic,0.001,"('nesterov', 0.5)",8,2.0188220617208157
0.01,"[100, 100]",uniform,2,logistic,0.0,"('trivial', 0.0)",8,2.0188287835518257
0.001,"[100, 100]",gaussian,4,tanh,0.0,"('trivial', 0.5)",8,2.019093882163109
0.001,"[100, 100]",gaussian,8,softplus,0.001,"('nesterov', 0.5)",8,2.0191438891462754
0.0001,"[20, 20]",uniform,2,logistic,0.0,"('nesterov', 0.9)",8,2.019351452326565
0.001,"[100, 100]",gaussian,8,logistic,0.0,"('trivial', 0.9)",8,2.0195131388945438
0.001,"[100, 100]",gaussian,2,tanh,0.001,"('trivial', 0.0)",8,2.0195317344457844
0.001,"[20, 20]",gaussian,4,logistic,0.001,"('nesterov', 0.5)",8,2.019579758917211
0.001,[100],uniform,32,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.019764749323042
0.001,[100],gaussian,4,logistic,0.001,"('trivial', 0.0)",8,2.0198495542773003
0.0001,[100],gaussian,4,tanh,0.0,"('trivial', 0.5)",8,2.020171969305985
0.001,"[100, 100]",uniform,8,logistic,0.001,"('trivial', 0.0)",8,2.0201840467262544
0.001,"[150, 150]",gaussian,124,relu,0.0001,"('trivial', 0.0)",5,2.0203095232349684
0.0001,"[100, 100]",uniform,2,tanh,0.0,"('nesterov', 0.9)",8,2.0204284751757484
0.0001,"[20, 20]",gaussian,8,tanh,0.0,"('trivial', 0.9)",8,2.0204298260877542
0.001,"[20, 20]",uniform,32,tanh,0.01,"('trivial', 0.9)",8,2.0208363430910534
0.005,"[150, 150]",gaussian,124,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,2.0208709502892104
0.001,"[20, 20]",uniform,1,tanh,0.01,"('trivial', 0.0)",8,2.020893230788455
0.0001,"[100, 100]",gaussian,2,relu,0.0,"('nesterov', 0.9)",8,2.020946196542585
0.0001,[100],uniform,4,logistic,0.0,"('nesterov', 0.9)",8,2.0215467794309427
0.005,"[100, 100]",gaussian,512,softplus,0.0,"('trivial', 0.9)",5,2.0215523456134634
0.0005,"[150, 150]",gaussian,512,relu,0.0,"('trivial', 0.9)",5,2.0217307817127548
0.001,[100],uniform,8,relu,0.001,"('trivial', 0.5)",8,2.0218583427088688
0.001,"[100, 100]",uniform,124,tanh,0.01,"('nesterov', 0.5)",8,2.021871300140468
0.001,"[20, 20]",uniform,124,tanh,0.001,"('trivial', 0.9)",8,2.0219866113557337
0.01,"[20, 20]",uniform,124,tanh,0.0,"('trivial', 0.0)",8,2.0223968611549075
0.001,"[20, 20]",uniform,4,tanh,0.01,"('trivial', 0.0)",8,2.022457526796483
0.001,[100],uniform,32,relu,0.0,"('trivial', 0.5)",8,2.0225899250880475
0.005,"[100, 100]",gaussian,1,logistic,0.0,"('nesterov', 0.5)",5,2.0226683233000533
0.0001,[100],gaussian,1,logistic,0.0,"('nesterov', 0.5)",8,2.0226956061085457
0.001,"[150, 150]",gaussian,1,logistic,0.0001,"('trivial', 0.9)",5,2.0228446263098467
0.0001,[100],gaussian,4,relu,0.0,"('trivial', 0.9)",8,2.0229424674736363
0.0001,[100],uniform,4,tanh,0.0,"('nesterov', 0.5)",8,2.022976714960276
0.0001,[100],gaussian,2,tanh,0.0,"('trivial', 0.0)",8,2.0230871732512368
0.0005,"[150, 150]",gaussian,124,relu,0.0,"('nesterov', 0.5)",5,2.0231944317780535
0.0001,"[20, 20]",uniform,1,logistic,0.0,"('trivial', 0.0)",8,2.023507242265905
0.0005,"[200, 200]",gaussian,124,relu,0.0,"('nesterov', 0.5)",5,2.0235182488153685
0.001,"[100, 100]",uniform,8,tanh,0.001,"('trivial', 0.5)",8,2.024250445875597
0.001,"[20, 20]",gaussian,32,tanh,0.0,"('trivial', 0.5)",8,2.0244746065807258
0.0001,"[100, 100]",uniform,4,relu,0.0,"('nesterov', 0.9)",8,2.0244961020942966
0.001,"[150, 150]",gaussian,124,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,2.0248346461825166
0.001,"[200, 200]",gaussian,1,tanh,0.0,"('trivial', 0.5)",5,2.025335885638452
0.01,"[20, 20]",uniform,124,logistic,0.0,"('nesterov', 0.5)",8,2.025396687065922
0.005,"[100, 100]",gaussian,1,logistic,0.0001,"('trivial', 0.5)",5,2.025426340194346
0.001,[100],gaussian,124,relu,0.0,"('trivial', 0.9)",8,2.025773813341285
0.001,"[100, 100]",gaussian,1,tanh,0.0001,"('nesterov', 0.5)",5,2.025840285503695
0.0001,"[20, 20]",uniform,4,tanh,0.01,"('trivial', 0.5)",8,2.025871548245956
0.0005,"[150, 150]",gaussian,1,logistic,0.0001,"('nesterov', 0.9)",5,2.0259476494393214
0.0001,[100],gaussian,2,relu,0.0,"('trivial', 0.0)",8,2.026030937176197
0.001,[100],gaussian,1,logistic,0.001,"('nesterov', 0.5)",8,2.0260507866832373
0.001,"[100, 100]",gaussian,4,tanh,0.0,"('trivial', 0.5)",5,2.026158337616705
0.001,"[100, 100]",gaussian,8,logistic,0.001,"('trivial', 0.0)",8,2.0262966082182743
0.001,[100],uniform,8,logistic,0.001,"('nesterov', 0.9)",8,2.026378341261005
0.0001,"[20, 20]",gaussian,4,logistic,0.0,"('nesterov', 0.9)",8,2.0264579795613624
0.001,[100],gaussian,2,logistic,0.0,"('trivial', 0.5)",8,2.0269287597846897
0.001,[100],gaussian,8,relu,0.0,"('nesterov', 0.5)",8,2.0269601541986058
0.0001,"[100, 100]",uniform,2,softplus,0.0,"('nesterov', 0.5)",8,2.0272248957166275
0.0001,[100],gaussian,1,tanh,0.01,"('nesterov', 0.5)",8,2.027474380071438
0.0005,"[100, 100]",gaussian,512,relu,0.0,"('nesterov', 0.9)",5,2.0274979841177165
0.005,"[150, 150]",gaussian,8,logistic,0.0001,"('nesterov', 0.9)",5,2.027504091517676
0.001,"[20, 20]",gaussian,32,tanh,0.01,"('nesterov', 0.5)",8,2.027542144262206
0.001,"[100, 100]",gaussian,124,relu,0.0,"('trivial', 0.0)",5,2.027614346208376
0.001,"[100, 100]",gaussian,8,relu,0.0,"('trivial', 0.5)",5,2.0276222910668347
0.0001,"[20, 20]",uniform,8,tanh,0.01,"('trivial', 0.5)",8,2.0277944029110446
0.0001,"[20, 20]",gaussian,8,tanh,0.01,"('nesterov', 0.5)",8,2.0277962790731068
0.0001,"[20, 20]",gaussian,1,logistic,0.0,"('trivial', 0.5)",8,2.0278283259226866
0.01,"[100, 100]",uniform,8,logistic,0.0,"('trivial', 0.5)",8,2.0280589031977594
0.001,"[100, 100]",uniform,32,tanh,0.0,"('nesterov', 0.9)",8,2.0281236452091043
0.001,[100],gaussian,8,tanh,0.01,"('trivial', 0.5)",8,2.028505985610255
0.001,"[150, 150]",gaussian,1,tanh,0.0001,"('nesterov', 0.5)",5,2.02867045007032
0.0001,"[20, 20]",gaussian,8,tanh,0.0,"('nesterov', 0.9)",8,2.028691480146324
0.0005,"[100, 100]",gaussian,512,relu,0.0001,"('nesterov', 0.9)",5,2.0287088133493305
0.0001,[100],uniform,1,relu,0.01,"('trivial', 0.0)",8,2.0287627042973018
0.001,"[20, 20]",gaussian,124,tanh,0.0,"('nesterov', 0.9)",8,2.0289679708724324
0.01,"[20, 20]",uniform,32,logistic,0.0,"('trivial', 0.0)",8,2.029179671217313
0.0005,"[150, 150]",gaussian,1,logistic,0.0,"('nesterov', 0.9)",5,2.0292368968506245
0.001,"[100, 100]",gaussian,8,softplus,0.0001,"('trivial', 0.0)",5,2.02924384739372
0.0001,[100],gaussian,1,tanh,0.01,"('adam', 0.9, 0.999, 1e-08)",8,2.029896857571127
0.001,[100],gaussian,8,tanh,0.01,"('nesterov', 0.5)",8,2.029935175185784
0.0005,"[100, 100]",gaussian,4,tanh,0.0001,"('trivial', 0.9)",5,2.030026307993044
0.0005,"[200, 200]",gaussian,4,softplus,0.0,"('trivial', 0.0)",5,2.0303001110701864
0.001,"[20, 20]",uniform,8,logistic,0.0,"('nesterov', 0.5)",8,2.0303195199330184
0.001,"[100, 100]",gaussian,2,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.030344767612518
0.0001,"[20, 20]",uniform,1,tanh,0.01,"('trivial', 0.9)",8,2.030352462445525
0.005,"[200, 200]",gaussian,124,softplus,0.0,"('trivial', 0.9)",5,2.030529770233636
0.001,[100],gaussian,8,logistic,0.001,"('trivial', 0.5)",8,2.0305641770904668
0.0001,"[100, 100]",gaussian,1,relu,0.0,"('nesterov', 0.5)",8,2.0306785199370188
0.0001,"[20, 20]",gaussian,4,tanh,0.0,"('trivial', 0.5)",8,2.031054335629191
0.0001,[100],gaussian,2,tanh,0.01,"('nesterov', 0.9)",8,2.0311132452688883
0.001,"[100, 100]",uniform,8,tanh,0.0,"('nesterov', 0.9)",8,2.031179026829077
0.005,"[200, 200]",gaussian,1,logistic,0.0001,"('trivial', 0.5)",5,2.03119568051008
0.001,"[20, 20]",gaussian,32,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,2.0315160733188082
0.001,[100],uniform,124,tanh,0.01,"('trivial', 0.9)",8,2.031687577144112
0.001,"[100, 100]",uniform,124,softplus,0.001,"('adam', 0.9, 0.999, 1e-08)",8,2.0316988797912514
0.001,"[20, 20]",gaussian,8,relu,0.01,"('trivial', 0.0)",8,2.0317011795378805
0.0001,"[20, 20]",uniform,2,logistic,0.0,"('nesterov', 0.5)",8,2.0320149802272214
0.0001,"[100, 100]",uniform,8,logistic,0.0,"('nesterov', 0.9)",8,2.0322631167360776
0.001,"[20, 20]",gaussian,8,logistic,0.001,"('nesterov', 0.5)",8,2.0325168417238064
0.0001,[100],uniform,1,tanh,0.01,"('nesterov', 0.5)",8,2.0326073185873517
0.01,[100],gaussian,124,logistic,0.0,"('trivial', 0.5)",8,2.0326440404996573
0.001,"[100, 100]",uniform,8,tanh,0.01,"('trivial', 0.9)",8,2.0326482256505294
0.001,"[20, 20]",uniform,8,logistic,0.0,"('trivial', 0.5)",8,2.032978531723688
0.0005,"[150, 150]",gaussian,4,tanh,0.0,"('trivial', 0.5)",5,2.0330396321467625
0.0001,"[20, 20]",uniform,2,tanh,0.0,"('trivial', 0.5)",8,2.03305768940203
0.0001,"[100, 100]",gaussian,2,softplus,0.0,"('nesterov', 0.5)",8,2.033076847127833
0.001,"[100, 100]",gaussian,124,softplus,0.0,"('nesterov', 0.9)",5,2.033099690522071
0.001,[100],uniform,32,relu,0.01,"('nesterov', 0.9)",8,2.0333896559523863
0.001,[100],gaussian,32,tanh,0.01,"('nesterov', 0.9)",8,2.0334439486575016
0.001,[100],gaussian,32,tanh,0.001,"('trivial', 0.9)",8,2.033571425613263
0.001,[100],gaussian,32,relu,0.001,"('nesterov', 0.5)",8,2.0335964230202452
0.0001,"[20, 20]",gaussian,1,logistic,0.0,"('nesterov', 0.5)",8,2.033666144099904
0.001,[100],uniform,4,tanh,0.01,"('trivial', 0.0)",8,2.033697638607726
0.001,"[20, 20]",gaussian,32,tanh,0.01,"('trivial', 0.0)",8,2.033862940675211
0.001,"[20, 20]",uniform,8,relu,0.01,"('trivial', 0.0)",8,2.0338861125273886
0.005,"[150, 150]",gaussian,1772,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",5,2.0341266269379936
0.0005,"[150, 150]",gaussian,4,logistic,0.0,"('trivial', 0.0)",5,2.0342314053495274
0.001,[100],gaussian,8,logistic,0.001,"('trivial', 0.9)",8,2.034277352274626
