num_hidden_neurons,l_rate,weights_distr,batch_size,act_f,lambda,optimizer,k,score
"[100, 100]",0.2,gaussian,16,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.4836720057828792
"[200, 200]",0.01,gaussian,1,softplus,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.4973874333504669
"[5, 5, 5]",0.1,gaussian,124,logistic,0.001,"('trivial', 0.5)",3,0.5051038112923448
"[5, 5, 5]",0.01,gaussian,32,logistic,0.001,"('trivial', 0.9)",3,0.5067457627545675
"[200, 200]",0.05,gaussian,8,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5094885121292334
"[5, 5]",0.4,gaussian,4,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5114328713862992
"[200, 200]",0.05,gaussian,16,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5167463251124723
[150],0.1,gaussian,1,softplus,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5427608250244585
"[100, 100]",0.2,gaussian,124,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.5922971923486249
"[5, 5]",0.1,gaussian,124,logistic,0.0,"('trivial', 0.5)",3,0.5931014465784892
"[5, 5]",0.1,gaussian,64,logistic,0.001,"('trivial', 0.0)",3,0.6105185162449249
[3],0.001,gaussian,124,tanh,0.001,"('trivial', 0.5)",3,0.6115797871284571
[5],0.4,gaussian,2,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6171785669292639
[100],0.2,gaussian,2,softplus,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6173791995767157
"[20, 20]",0.8,gaussian,8,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.619945348611432
"[5, 5]",0.1,gaussian,124,logistic,0.001,"('nesterov', 0.5)",3,0.6361476875304934
"[5, 5]",0.01,gaussian,8,logistic,0.001,"('trivial', 0.0)",3,0.6419398219746686
[5],0.6,gaussian,8,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6444050668068361
[5],0.001,gaussian,32,tanh,0.0,"('trivial', 0.0)",3,0.6463424564005112
[3],0.001,gaussian,16,relu,0.001,"('trivial', 0.5)",3,0.6495924601046119
[3],0.001,gaussian,64,tanh,0.0,"('trivial', 0.0)",3,0.649941033927489
[150],0.2,gaussian,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6501600555624726
"[5, 5]",0.05,gaussian,64,logistic,0.001,"('nesterov', 0.5)",3,0.6503395000360211
[3],0.01,gaussian,124,softplus,0.001,"('nesterov', 0.5)",3,0.6518021976788982
"[5, 5, 5]",0.001,gaussian,1,logistic,0.001,"('nesterov', 0.5)",3,0.6521084732258611
[5],0.001,gaussian,124,relu,0.001,"('nesterov', 0.9)",3,0.6557122566971465
"[5, 5, 5]",0.001,gaussian,124,tanh,0.0,"('nesterov', 0.5)",3,0.6576853084232658
[10],0.001,gaussian,124,tanh,0.001,"('trivial', 0.0)",3,0.6619385926128838
"[20, 20]",0.05,gaussian,124,logistic,0.0,"('trivial', 0.5)",3,0.6638491004100202
[5],0.8,gaussian,16,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6658047787617559
"[5, 5, 5]",0.01,gaussian,124,tanh,0.0,"('trivial', 0.0)",3,0.6676798952825789
[3],0.001,gaussian,32,relu,0.0,"('nesterov', 0.5)",3,0.6695343050768683
[3],0.6,gaussian,32,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6703615239208353
"[5, 5, 5]",0.1,gaussian,32,logistic,0.001,"('trivial', 0.0)",3,0.6742640985270726
[5],0.001,gaussian,124,relu,0.001,"('trivial', 0.5)",3,0.6751243867998133
"[200, 200]",0.01,gaussian,16,softplus,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6751693796778735
"[5, 5]",0.001,gaussian,124,tanh,0.001,"('trivial', 0.5)",3,0.6754878572497193
"[100, 100]",0.8,gaussian,64,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6756834389482149
[20],0.001,gaussian,124,relu,0.0,"('nesterov', 0.5)",3,0.6758319667939264
"[5, 5, 5]",0.001,gaussian,1,logistic,0.001,"('trivial', 0.5)",3,0.6765010918650806
[5],0.001,gaussian,32,relu,0.0,"('nesterov', 0.5)",3,0.6769890833394984
"[5, 5]",0.001,gaussian,64,relu,0.001,"('trivial', 0.0)",3,0.6770398905510769
[150],0.1,gaussian,124,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6793419265999372
[10],0.001,gaussian,124,logistic,0.001,"('trivial', 0.0)",3,0.6794494342434892
"[5, 5, 5]",0.05,gaussian,32,logistic,0.001,"('trivial', 0.5)",3,0.6796732457519243
"[5, 5, 5]",0.05,gaussian,124,logistic,0.0,"('trivial', 0.9)",3,0.6799601867081982
"[5, 5, 5]",0.2,gaussian,124,logistic,0.001,"('nesterov', 0.5)",3,0.6806669500227086
"[200, 200]",0.8,gaussian,4,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6806963591106152
"[5, 5, 5]",0.001,gaussian,4,logistic,0.0,"('nesterov', 0.9)",3,0.6811251965503945
